id,title,season
34156,PePePePengiin,Fall 2016
34176,Zero kara Hajimeru Mahou no Sho,Spring 2017
34177,Tenshi no 3P!,Summer 2017
34207,Dochamon Junior 2,Fall 2016
34209,Meiji Tokyo Renka,Winter 2019
34233,Kimoshiba,Fall 2016
34234,Ohayou! Kokekkou-san,Fall 2016
34235,Pittanko! Nekozakana,Fall 2016
34257,Cinderella Girls Gekijou,Spring 2017
34262,Oushitsu Kyoushi Heine,Spring 2017
34279,Grancrest Senki,Winter 2018
34280,Gamers!,Summer 2017
34281,High School DxD Hero,Spring 2018
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,Fall 2017
34289,Schoolgirl Strikers: Animation Channel,Winter 2017
34290,Kirakira☆Precure A La Mode,Winter 2017
34292,Kamigami no Ki,Fall 2016
34295,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,Winter 2017
34309,Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,Winter 2017
34332,Hulaing Babies,Winter 2019
34337,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,Summer 2017
34338,Lost Song,Spring 2018
34350,Alice to Zouroku,Spring 2017
34368,Vatican Kiseki Chousakan,Summer 2017
34382,Citrus,Winter 2018
34383,Netsuzou TRap,Summer 2017
34392,One Room,Winter 2017
34393,Room Mate,Spring 2017
34402,Love Kome: We Love Rice,Spring 2017
34403,Hajimete no Gal,Summer 2017
34410,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,Fall 2016
34411,Taishou Mebiusline: Chicchai-san,Fall 2017
34427,Frame Arms Girl,Spring 2017
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,Fall 2017
34449,The Reflection,Summer 2017
34451,Kekkai Sensen & Beyond,Fall 2017
34456,Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,Winter 2017
34467,Yami Shibai 4,Winter 2017
34488,Gan Gan Ganko-chan,Winter 2017
34494,Sakura Quest,Spring 2017
34497,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018
34501,Kenka Banchou Otome: Girl Beats Boys,Spring 2017
34502,Inazma Delivery,Winter 2017
34503,KochinPa! Dainiki,Winter 2017
34522,"Wake Up, Girls! Shin Shou",Fall 2017
34525,Centaur no Nayami,Summer 2017
34542,Inuyashiki,Fall 2017
34543,Dive!!,Summer 2017
34547,Shoukoku no Altair,Summer 2017
34550,Warau Salesman New,Spring 2017
34561,Re:Creators,Spring 2017
34565,Jikan no Shihaisha,Summer 2017
34566,Boruto: Naruto Next Generations,Spring 2017
34572,Black Clover,Fall 2017
